"Hour","Temperature","Humidity","Wind_speed","Visibility","Dew_point_temperature","Solar_Radiation","Rainfall","Snowfall","Seasons","Holiday","Functioning_Day"
0,NA,NA,0.297297297297297,1,NA,0,0,0,4,2,2
1,0.215034965034965,0.387755102040816,NA,1,0.224913494809689,0,0,0,4,2,2
2,0.206293706293706,NA,0.135135135135135,1,NA,0,0,0,4,2,2
3,0.202797202797203,0.408163265306122,0.121621621621622,NA,0.224913494809689,0,0,0,4,2,2
4,0.206293706293706,0.36734693877551,0.310810810810811,1,0.207612456747405,0,0,0,4,2,2
5,NA,0.377551020408163,0.202702702702703,1,0.205882352941177,0,0,0,4,2,2
6,0.195804195804196,0.357142857142857,NA,1,NA,0,0,0,4,2,2
7,0.181818181818182,0.387755102040816,0.121621621621622,1,NA,0,0,0,4,2,2
8,0.178321678321678,0.377551020408163,NA,1,NA,0.01,0,0,4,2,2
9,0.197552447552448,NA,NA,NA,NA,0.23,0,0,4,2,2
10,0.25,0.244897959183673,0.162162162162162,NA,0.162629757785467,0.65,0,0,4,2,2
11,0.302447552447552,0.214285714285714,0.175675675675676,0.967562088190573,NA,0.94,0,0,4,2,2
12,0.340909090909091,NA,0.189189189189189,1,0.231833910034602,1.11,0,0,4,2,2
13,0.353146853146853,0.255102040816327,NA,1,0.259515570934256,1.16,0,0,4,2,2
14,NA,NA,0.27027027027027,1,0.27681660899654,1.01,0,0,4,2,2
15,0.347902097902098,0.36734693877551,NA,1,NA,0.54,0,0,4,2,2
16,NA,NA,NA,0.388241256969083,0.408304498269896,0.24,0,0,4,2,2
17,NA,NA,0.216216216216216,1,0.416955017301038,0.08,0,0,4,2,2
18,0.321678321678322,NA,NA,1,0.442906574394464,0,0,0,4,2,2
19,0.311188811188811,0.785714285714286,0.22972972972973,1,0.468858131487889,0,0,0,4,2,2
20,0.305944055944056,NA,NA,0.95590471363406,0.468858131487889,0,0,0,4,2,2
21,0.297202797202797,0.826530612244898,NA,0.84135833755702,0.467128027681661,0,0,0,4,2,2
22,0.295454545454545,NA,NA,NA,0.470588235294118,0,0,0,4,2,2
23,0.288461538461538,NA,0.135135135135135,0.627470856563609,0.467128027681661,0,0,0,4,2,2
0,0.27972027972028,0.887755102040816,0.148648648648649,0.490116573745565,0.467128027681661,0,0,0,4,2,2
1,0.272727272727273,NA,NA,0.488089204257476,0.456747404844291,0,0,0,4,2,2
2,0.26048951048951,0.877551020408163,0.202702702702703,0.622909275215408,NA,0,0,0,4,2,2
3,0.25,NA,0.297297297297297,NA,0.422145328719723,0,0,0,4,2,2
4,NA,0.806122448979592,NA,0.577800304105423,0.410034602076125,0,0,0,4,2,2
5,NA,0.806122448979592,NA,0.595539787126204,0.406574394463668,0,0,0,4,2,2
6,0.236013986013986,NA,0.283783783783784,0.583375570197669,0.410034602076125,0,0,0,4,2,2
7,0.234265734265734,0.826530612244898,0.337837837837838,0.633046122655854,0.406574394463668,0,0,0,4,2,2
8,0.237762237762238,0.806122448979592,0.283783783783784,0.714140902179422,0.403114186851211,0.01,0,0,4,2,2
9,0.26048951048951,NA,0.216216216216216,0.73998986315256,NA,0.3,0,0,4,2,2
10,NA,0.581632653061224,0.216216216216216,0.64977192093259,0.394463667820069,0.8,0,0,4,2,2
11,0.344405594405594,0.5,0.243243243243243,0.698935631018753,NA,1,0,0,4,2,2
12,0.386363636363636,0.418367346938776,0.175675675675676,0.830714647744551,NA,1.09,0,0,4,2,2
13,NA,0.36734693877551,0.243243243243243,NA,NA,1.12,0,0,4,2,2
14,0.438811188811189,NA,0.175675675675676,NA,0.406574394463668,0.99,0,0,4,2,2
15,NA,NA,0.310810810810811,0.976178408514952,0.44636678200692,0.74,0,0,4,2,2
16,NA,0.489795918367347,0.351351351351351,0.972123669538773,0.463667820069204,0.22,0,0,4,2,2
17,0.416083916083916,0.520408163265306,NA,0.944754181449569,NA,0.06,0,0,4,2,2
18,0.407342657342657,NA,0.202702702702703,0.846426761277243,0.472318339100346,0,0,0,4,2,2
19,0.398601398601399,0.530612244897959,0.310810810810811,0.830714647744551,0.460207612456747,0,0,0,4,2,2
20,NA,0.520408163265306,NA,0.789660415610745,0.449826989619377,0,0,0,4,2,2
21,NA,0.561224489795918,0.162162162162162,NA,0.458477508650519,0,0,0,4,2,2
22,NA,NA,0.202702702702703,0.719209325899645,NA,0,0,0,4,2,2
23,0.381118881118881,NA,NA,0.671566142929549,NA,0,0,0,4,2,2
0,NA,0.591836734693878,0.189189189189189,0.6431829700963,0.468858131487889,0,0,0,4,2,2
1,0.379370629370629,NA,0.22972972972973,0.232133806386214,NA,0,0,0,4,2,2
2,NA,NA,0.189189189189189,0.406994424733908,0.529411764705882,0,0,0,4,2,2
3,0.370629370629371,0.724489795918367,0.216216216216216,NA,0.506920415224913,0,0.5,0,4,2,2
4,0.372377622377622,0.744897959183674,0.135135135135135,NA,0.515570934256055,0,0,0,4,2,2
5,NA,0.76530612244898,NA,0.449569183983781,NA,0,0,0,4,2,2
6,0.370629370629371,NA,0.337837837837838,0.127217435377598,NA,0,1,0,4,2,2
7,NA,0.928571428571429,0.162162162162162,0.0516979219462747,NA,0,0,0,4,2,2
8,NA,0.938775510204082,0.243243243243243,0.109984794728839,NA,0,0,0,4,2,2
9,0.372377622377622,0.928571428571429,0.243243243243243,0.103395843892549,0.565743944636678,0.02,2.5,0,4,2,2
10,0.388111888111888,0.908163265306122,0.297297297297297,NA,NA,0.24,0,0,4,2,2
11,0.40034965034965,0.887755102040816,0.189189189189189,NA,NA,0.25,0,0,4,2,2
12,0.412587412587413,0.86734693877551,0.22972972972973,0.163203243791181,0.588235294117647,0.43,0,0,4,2,2
13,NA,0.826530612244898,0.256756756756757,0.183983781044095,0.593425605536332,0.6,0,0,4,2,2
14,0.444055944055944,0.775510204081633,NA,0.200202736948809,0.591695501730104,0.69,0,0,4,2,2
15,NA,0.744897959183674,0.216216216216216,0.205778003041054,0.588235294117647,0.53,0,0,4,2,2
16,0.444055944055944,NA,0.216216216216216,0.188545362392296,0.595155709342561,0.2,0,0,4,2,2
17,0.428321678321678,0.836734693877551,0.202702702702703,0.167764825139382,0.595155709342561,0.05,0,0,4,2,2
18,0.416083916083916,0.857142857142857,0.256756756756757,0.15205271160669,0.588235294117647,0,0,0,4,2,2
19,0.410839160839161,0.86734693877551,0.22972972972973,0.142929548910289,0.586505190311419,0,0,0,4,2,2
20,0.402097902097902,0.887755102040816,0.189189189189189,0.11454637607704,NA,0,0,0,4,2,2
21,0.393356643356643,NA,0.162162162162162,0.111505321844906,0.576124567474048,0,0,0,4,2,2
22,0.386363636363636,NA,0.243243243243243,0.0881905727318804,0.57439446366782,0,0,0,4,2,2
23,0.379370629370629,0.918367346938776,0.175675675675676,0.0846426761277243,0.570934256055363,0,0,0,4,2,2
0,0.384615384615385,0.897959183673469,0.0810810810810811,0.0957932083122149,0.569204152249135,0,0,0,4,2,2
1,NA,0.887755102040816,NA,0.0983274201723264,0.569204152249135,0,0,0,4,2,2
